Area,State Name,LGA Name,lga_code_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly
"Golden Plains, Victoria",Victoria,Golden Plains (S),22490,39,1550,628,260,1630
"Anangu Pitjantjatjara, South Australia",South Australia,Anangu Pitjantjatjara (AC),40250,28,0,283,75,734
"Corangamite, Victoria",Victoria,Corangamite (S),21830,46,1083,542,170,1301
"Whitehorse, Victoria",Victoria,Whitehorse (C),26980,38,2000,619,376,1916
"Ballina, New South Wales",New South Wales,Ballina (A),10250,48,1733,601,340,1426
"Barunga West, South Australia",South Australia,Barunga West (DC),40430,55,875,487,175,1166
"Kingborough, Tasmania",Tasmania,Kingborough (M),63610,42,1517,672,300,1694
"Banana, Queensland",Queensland,Banana (S),30370,37,1517,714,190,1895
"Palm Island, Queensland",Queensland,Palm Island (S),35790,24,0,303,120,927
"Three Springs, Western Australia",Western Australia,Three Springs (S),58260,40,594,610,115,1406
"East Fremantle, Western Australia",Western Australia,East Fremantle (T),53150,43,2500,938,400,2780
"Kellerberrin, Western Australia",Western Australia,Kellerberrin (S),54410,48,867,526,115,1292
"Unincorporated NT, Northern Territory",Northern Territory,Unincorporated NT,79399,34,1550,1086,80,2447
"Tamworth Regional, New South Wales",New South Wales,Tamworth Regional (A),17310,40,1500,633,260,1446
"Mount Remarkable, South Australia",South Australia,Mount Remarkable (DC),44830,53,890,497,150,1217
"Hinchinbrook, Queensland",Queensland,Hinchinbrook (S),33800,50,1300,538,180,1349
"Darwin, Northern Territory",Northern Territory,Darwin (C),71000,34,2167,1039,418,2385
"Wiluna, Western Australia",Western Australia,Wiluna (S),59250,35,0,1345,70,860
"MacDonnell, Northern Territory",Northern Territory,MacDonnell (R),72330,29,0,271,50,642
"Prospect, South Australia",South Australia,Prospect (C),46510,37,1863,757,295,2099
"Bogan, New South Wales",New South Wales,Bogan (A),10950,40,1083,634,160,1561
"Kangaroo Island, South Australia",South Australia,Kangaroo Island (DC),42750,49,1083,553,170,1213
"Robe, South Australia",South Australia,Robe (DC),46860,50,1235,634,200,1406
"Blue Mountains, New South Wales",New South Wales,Blue Mountains (C),10900,44,1842,688,350,1866
"Northern Grampians, Victoria",Victoria,Northern Grampians (S),25810,48,953,513,170,1257
"Cumberland, New South Wales",New South Wales,Cumberland (A),12380,32,2000,501,400,1436
"Mount Isa, Queensland",Queensland,Mount Isa (C),35300,31,1885,997,260,2382
"South Perth, Western Australia",Western Australia,South Perth (C),57840,37,2173,840,375,2385
"Moreton Bay, Queensland",Queensland,Moreton Bay (R),35010,38,1781,652,340,1638
"Alexandrina, South Australia",South Australia,Alexandrina (DC),40220,51,1343,522,250,1226
"Katanning, Western Australia",Western Australia,Katanning (S),54340,40,1134,667,180,1400
"Burnside, South Australia",South Australia,Burnside (C),40700,44,2000,807,320,2320
"Kalamunda, Western Australia",Western Australia,Kalamunda (S),54200,39,2000,732,380,1932
"Collie, Western Australia",Western Australia,Collie (S),51890,41,1517,512,225,1488
"Goondiwindi, Queensland",Queensland,Goondiwindi (R),33610,40,1300,653,200,1461
"Tasman, Tasmania",Tasmania,Tasman (M),65210,55,910,462,195,985
"Armadale, Western Australia",Western Australia,Armadale (C),50210,33,1950,698,325,1719
"Elliston, South Australia",South Australia,Elliston (DC),41750,46,800,529,97,1189
"Roper Gulf, Northern Territory",Northern Territory,Roper Gulf (R),73600,26,1278,279,50,670
"Port Phillip, Victoria",Victoria,Port Phillip (C),25900,36,2167,1087,400,2559
"Whittlesea, Victoria",Victoria,Whittlesea (C),27070,34,1798,591,331,1569
"Paroo, Queensland",Queensland,Paroo (S),35800,46,498,529,100,1235
"Alice Springs, Northern Territory",Northern Territory,Alice Springs (T),70200,35,1950,1002,350,2259
"Torres Strait Island, Queensland",Queensland,Torres Strait Island (R),36960,24,0,373,115,856
"Hobsons Bay, Victoria",Victoria,Hobsons Bay (C),23110,38,1900,704,330,1921
"Yarra, Victoria",Victoria,Yarra (C),27350,33,2167,1039,421,2509
"Dorset, Tasmania",Tasmania,Dorset (M),61810,48,1020,478,160,1114
"Kent, Western Australia",Western Australia,Kent (S),54480,39,412,856,61,1589
"Glen Innes Severn, New South Wales",New South Wales,Glen Innes Severn (A),13010,47,1083,478,200,1111
"Dalwallinu, Western Australia",Western Australia,Dalwallinu (S),52520,38,946,803,185,1767
"Kiama, New South Wales",New South Wales,Kiama (A),14400,47,2000,683,395,1820
"Fraser Coast, Queensland",Queensland,Fraser Coast (R),33220,48,1300,468,265,1090
"Parramatta, New South Wales",New South Wales,Parramatta (C),16260,34,2167,722,440,1933
"Narrandera, New South Wales",New South Wales,Narrandera (A),15800,44,1007,575,170,1349
"Ravensthorpe, Western Australia",Western Australia,Ravensthorpe (S),57420,45,1200,676,220,1507
"Bruce Rock, Western Australia",Western Australia,Bruce Rock (S),51120,47,800,687,100,1583
"Chittering, Western Australia",Western Australia,Chittering (S),51680,43,2167,641,270,1856
"Murrumbidgee, New South Wales",New South Wales,Murrumbidgee (A),15560,41,900,659,150,1461
"Bassendean, Western Australia",Western Australia,Bassendean (T),50350,39,1922,731,345,1904
"Townsville, Queensland",Queensland,Townsville (C),37010,34,1733,703,300,1705
"Shoalhaven, New South Wales",New South Wales,Shoalhaven (C),16950,48,1517,511,280,1226
"Newcastle, New South Wales",New South Wales,Newcastle (C),15900,37,1768,660,340,1778
"Brisbane, Queensland",Queensland,Brisbane (C),31000,35,2000,770,390,2091
"North Sydney, New South Wales",New South Wales,North Sydney (A),15950,37,2600,1386,575,3210
"Wodonga, Victoria",Victoria,Wodonga (C),27170,36,1430,674,250,1550
"Leonora, Western Australia",Western Australia,Leonora (S),55040,35,867,1443,0,2048
"Botany Bay, New South Wales",New South Wales,Botany Bay (C),11100,35,2400,720,460,1921
"East Pilbara, Western Australia",Western Australia,East Pilbara (S),53220,34,457,1814,100,2536
"Murray River, New South Wales",New South Wales,Murray River (A),15520,49,1300,558,200,1333
"Quairading, Western Australia",Western Australia,Quairading (S),57350,52,1002,545,98,1154
"Grant, South Australia",South Australia,Grant (DC),42250,44,1300,665,160,1658
"Wagin, Western Australia",Western Australia,Wagin (S),58610,49,1000,539,168,1274
"Southern Downs, Queensland",Queensland,Southern Downs (R),36660,45,1300,506,230,1207
