Area,State Name,LGA Name,lga_code_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly
"Logan, Queensland",Queensland,Logan (C),34590,34,1733,635,335,1546
"Victor Harbor, South Australia",South Australia,Victor Harbor (C),48050,58,1300,481,255,1065
"Gwydir, New South Wales",New South Wales,Gwydir (A),13660,48,981,489,120,1178
"Oberon, New South Wales",New South Wales,Oberon (A),16100,45,1452,611,210,1509
"Mitcham, South Australia",South Australia,Mitcham (C),44340,42,1842,715,300,2071
"Tablelands, Queensland",Queensland,Tablelands (R),36820,47,1352,517,240,1218
"Carnamah, Western Australia",Western Australia,Carnamah (S),51470,46,737,698,100,1489
"Tammin, Western Australia",Western Australia,Tammin (S),58190,38,867,661,102,1589
"Mount Alexander, Victoria",Victoria,Mount Alexander (S),25430,49,1300,550,250,1311
"Circular Head, Tasmania",Tasmania,Circular Head (M),61210,41,1083,581,170,1385
"Richmond Valley, New South Wales",New South Wales,Richmond Valley (A),16610,44,1300,491,250,1191
"Adelaide Hills, South Australia",South Australia,Adelaide Hills (DC),40120,44,1733,741,302,2026
"Pormpuraaw, Queensland",Queensland,Pormpuraaw (S),36070,31,867,337,90,747
"Central Highlands , Tasmania",Tasmania,Central Highlands (M) (Tas.),61010,50,867,467,100,1074
"Coolgardie, Western Australia",Western Australia,Coolgardie (S),51960,33,1083,757,200,2094
"Dumbleyung, Western Australia",Western Australia,Dumbleyung (S),53010,42,585,662,98,1309
"Copper Coast, South Australia",South Australia,Copper Coast (DC),41560,50,1161,477,230,1128
"Lithgow, New South Wales",New South Wales,Lithgow (C),14870,45,1387,510,230,1328
"Busselton, Western Australia",Western Australia,Busselton (C),51260,42,1863,653,350,1581
"Mosman Park, Western Australia",Western Australia,Mosman Park (T),55740,40,2700,894,320,2887
"Holdfast Bay, South Australia",South Australia,Holdfast Bay (C),42600,46,1772,748,300,1973
"Moira, Victoria",Victoria,Moira (S),24900,47,1235,524,200,1283
"Sorell, Tasmania",Tasmania,Sorell (M),64810,42,1300,587,260,1391
"Weipa, Queensland",Queensland,Weipa (T),37300,31,2200,1320,450,2777
"Southern Grampians, Victoria",Victoria,Southern Grampians (S),26260,46,1082,576,175,1370
"Break O'Day, Tasmania",Tasmania,Break O'Day (M),60210,54,910,439,195,955
"Bulloo, Queensland",Queensland,Bulloo (S),31750,40,715,883,88,1430
"Mornington Peninsula, Victoria",Victoria,Mornington Peninsula (S),25340,46,1733,630,310,1621
"Yarra Ranges, Victoria",Victoria,Yarra Ranges (S),27450,40,1733,667,325,1770
"West Arnhem, Northern Territory",Northern Territory,West Arnhem (R),74660,28,2550,276,50,771
"Esperance, Western Australia",Western Australia,Esperance (S),53290,40,1679,682,240,1709
"Whyalla, South Australia",South Australia,Whyalla (C),48540,40,1235,497,177,1388
"Chapman Valley, Western Australia",Western Australia,Chapman Valley (S),51610,43,2167,732,200,1932
"Katherine, Northern Territory",Northern Territory,Katherine (T),72200,33,1733,922,250,2081
"Kingston, South Australia",South Australia,Kingston (DC) (SA),43360,50,1058,575,163,1232
"Central Coast , Tasmania",Tasmania,Central Coast (M) (Tas.),60810,46,1213,528,210,1301
"Mount Marshall, Western Australia",Western Australia,Mount Marshall (S),55880,42,499,684,60,1451
"Dowerin, Western Australia",Western Australia,Dowerin (S),52940,43,867,641,100,1455
"Subiaco, Western Australia",Western Australia,Subiaco (C),57980,36,2500,892,400,2609
"Knox, Victoria",Victoria,Knox (C),23670,39,1733,664,351,1820
"Frankston, Victoria",Victoria,Frankston (C),22170,38,1621,660,306,1649
"Inner West, New South Wales",New South Wales,Inner West (A),14170,36,2600,957,480,2498
"Lockhart, New South Wales",New South Wales,Lockhart (A),14950,46,1000,585,150,1408
"Mid Murray, South Australia",South Australia,Mid Murray (DC),44210,51,1000,473,175,1096
"Central Highlands, Queensland",Queensland,Central Highlands (R) (Qld),32270,33,1842,843,180,2106
"Palmerston, Northern Territory",Northern Territory,Palmerston (C),72800,30,2253,1053,430,2369
"Flinders Ranges, South Australia",South Australia,Flinders Ranges (DC),41830,50,900,549,154,1283
"Cassowary Coast, Queensland",Queensland,Cassowary Coast (R),32260,44,1300,567,230,1305
"Noosa, Queensland",Queensland,Noosa (S),35740,48,1733,595,380,1403
"Singleton, New South Wales",New South Wales,Singleton (A),17000,36,1950,684,280,1981
"Gosnells, Western Australia",Western Australia,Gosnells (C),53780,34,1800,636,350,1656
"Kyogle, New South Wales",New South Wales,Kyogle (A),14550,50,1100,460,200,1076
"Mackay, Queensland",Queensland,Mackay (R),34770,37,1950,698,277,1774
"Goomalling, Western Australia",Western Australia,Goomalling (S),53710,45,1105,668,150,1625
"Cherbourg, Queensland",Queensland,Cherbourg (S),32330,21,0,315,100,766
"Burwood, New South Wales",New South Wales,Burwood (A),11300,33,2200,552,500,1725
"Penrith, New South Wales",New South Wales,Penrith (C),16350,34,2000,728,370,1858
"Moorabool, Victoria",Victoria,Moorabool (S),25150,40,1559,635,260,1670
"Unincorporated ACT, Australian Capital Territory",Australian Capital Territory,Unincorporated ACT,89399,35,2058,1000,380,2445
"Narromine, New South Wales",New South Wales,Narromine (A),15850,42,1100,586,185,1358
"Latrobe , Tasmania",Tasmania,Latrobe (M) (Tas.),63810,47,1300,555,235,1320
"Port Adelaide Enfield, South Australia",South Australia,Port Adelaide Enfield (C),45890,37,1560,551,268,1428
"Cardinia, Victoria",Victoria,Cardinia (S),21450,34,1733,680,320,1700
"Snowy Monaro Regional, New South Wales",New South Wales,Snowy Monaro Regional (A),17040,43,1300,675,220,1569
"Wattle Range, South Australia",South Australia,Wattle Range (DC),48340,46,953,547,150,1326
"Kojonup, Western Australia",Western Australia,Kojonup (S),54550,44,1083,720,143,1568
"Croydon, Queensland",Queensland,Croydon (S),32600,40,0,579,133,1274
"Gilgandra, New South Wales",New South Wales,Gilgandra (A),12950,45,1083,537,160,1199
"Coober Pedy, South Australia",South Australia,Coober Pedy (DC),41330,46,556,497,150,1329
"Toowoomba, Queensland",Queensland,Toowoomba (R),36910,38,1517,642,280,1547
"Woorabinda, Queensland",Queensland,Woorabinda (S),37550,23,0,319,120,716
"Ngaanyatjarraku, Western Australia",Western Australia,Ngaanyatjarraku (S),56620,29,0,307,55,705
"Toodyay, Western Australia",Western Australia,Toodyay (S),58330,51,1600,560,280,1425
"Mansfield, Victoria",Victoria,Mansfield (S),24250,48,1352,580,231,1338
"Redland, Queensland",Queensland,Redland (C),36250,41,1950,686,386,1815
"Goyder, South Australia",South Australia,Goyder (DC),42110,48,867,481,150,1184
"Mukinbudin, Western Australia",Western Australia,Mukinbudin (S),55950,43,607,647,83,1601
"Exmouth, Western Australia",Western Australia,Exmouth (S),53360,37,2167,816,300,2011
"Longreach, Queensland",Queensland,Longreach (R),34710,40,1300,726,180,1609
"Halls Creek, Western Australia",Western Australia,Halls Creek (S),53920,28,981,359,75,809
"Gunnedah, New South Wales",New South Wales,Gunnedah (A),13550,40,1473,618,240,1586
"Derwent Valley, Tasmania",Tasmania,Derwent Valley (M),61510,43,1148,505,210,1264
"Bundaberg, Queensland",Queensland,Bundaberg (R),31820,45,1322,490,260,1185
"Unincorp. Other Territories, Other Territories",Other Territories,Unincorp. Other Territories,99399,42,1400,715,140,1568
"Nungarin, Western Australia",Western Australia,Nungarin (S),56860,44,758,615,55,1333
"Peppermint Grove, Western Australia",Western Australia,Peppermint Grove (S),56930,39,2817,1061,459,4146
"Northam, Western Australia",Western Australia,Northam (S),56730,42,1408,581,245,1468
"Canterbury-Bankstown, New South Wales",New South Wales,Canterbury-Bankstown (A),11570,35,2000,502,380,1437
"Albany, Western Australia",Western Australia,Albany (C),50080,43,1600,611,280,1508
"Cockburn, Western Australia",Western Australia,Cockburn (C),51820,35,2058,761,380,2038
"Maribyrnong, Victoria",Victoria,Maribyrnong (C),24330,33,2000,703,330,1913
"Warrumbungle Shire, New South Wales",New South Wales,Warrumbungle Shire (A),18020,49,923,479,160,1103
"Surf Coast, Victoria",Victoria,Surf Coast (S),26490,42,1842,722,363,1876
"Canada Bay, New South Wales",New South Wales,Canada Bay (A),11520,36,2500,882,565,2361
"Hilltops, New South Wales",New South Wales,Hilltops (A),13910,44,1200,538,200,1261
"Brighton, Tasmania",Tasmania,Brighton (M),60410,34,1300,568,215,1303
"Bass Coast, Victoria",Victoria,Bass Coast (S),20740,50,1315,507,250,1192
"Mount Barker, South Australia",South Australia,Mount Barker (DC),44550,39,1616,677,310,1729
"Whitsunday, Queensland",Queensland,Whitsunday (R),37340,38,1733,685,270,1481
"Fremantle, Western Australia",Western Australia,Fremantle (C),53430,42,2167,778,351,2173
"Streaky Bay, South Australia",South Australia,Streaky Bay (DC),47490,45,1083,594,163,1370
"Manjimup, Western Australia",Western Australia,Manjimup (S),55180,45,1300,594,183,1394
"Franklin Harbour, South Australia",South Australia,Franklin Harbour (DC),41960,49,1200,536,189,1283
"Broome, Western Australia",Western Australia,Broome (S),50980,33,2573,898,265,2076
"Wagga Wagga, New South Wales",New South Wales,Wagga Wagga (C),17750,35,1517,696,265,1682
"Georges River, New South Wales",New South Wales,Georges River (A),12930,37,2167,640,450,1817
"Gladstone, Queensland",Queensland,Gladstone (R),33360,35,1950,678,250,1918
"Bridgetown-Greenbushes, Western Australia",Western Australia,Bridgetown-Greenbushes (S),50840,49,1517,518,240,1284
"Nambucca, New South Wales",New South Wales,Nambucca (A),15700,51,1300,467,250,1080
"Western Plains Regional, New South Wales",New South Wales,Western Plains Regional (A),18230,37,1500,660,250,1525
"Uralla, New South Wales",New South Wales,Uralla (A),17650,46,1346,552,190,1342
"Upper Lachlan Shire, New South Wales",New South Wales,Upper Lachlan Shire (A),17640,48,1400,609,190,1498
"Northern Areas, South Australia",South Australia,Northern Areas (DC),45120,48,867,540,151,1304
"Coffs Harbour, New South Wales",New South Wales,Coffs Harbour (C),11800,44,1603,566,305,1346
"Narembeen, Western Australia",Western Australia,Narembeen (S),56370,46,625,763,120,1625
"Nannup, Western Australia",Western Australia,Nannup (S),56300,53,1408,515,175,1189
"Stirling, Western Australia",Western Australia,Stirling (C),57910,36,2000,766,350,2001
"Lane Cove, New South Wales",New South Wales,Lane Cove (A),14700,36,2600,1149,520,2971
"Melville, Western Australia",Western Australia,Melville (C),55320,41,2167,757,400,2281
"Cue, Western Australia",Western Australia,Cue (S),52380,52,775,534,100,949
"Dardanup, Western Australia",Western Australia,Dardanup (S),52660,37,1863,670,330,1749
"Maralinga Tjarutja, South Australia",South Australia,Maralinga Tjarutja (AC),44000,35,0,1375,0,3374
"Mundaring, Western Australia",Western Australia,Mundaring (S),56090,42,2000,692,350,1957
"Loxton Waikerie, South Australia",South Australia,Loxton Waikerie (DC),43790,46,1040,552,175,1286
"Capel, Western Australia",Western Australia,Capel (S),51400,36,1950,716,350,1937
"Gannawarra, Victoria",Victoria,Gannawarra (S),22250,49,977,498,150,1188
"Cleve, South Australia",South Australia,Cleve (DC),41190,44,867,630,150,1384
"Burke, Queensland",Queensland,Burke (S),31950,38,0,742,135,1458
"Cloncurry, Queensland",Queensland,Cloncurry (S),32450,34,1510,1022,150,2140
"Waverley, New South Wales",New South Wales,Waverley (A),18050,35,3000,1151,622,2917
"Wujal Wujal, Queensland",Queensland,Wujal Wujal (S),37570,30,0,294,100,682
"Burdekin, Queensland",Queensland,Burdekin (S),31900,44,1300,617,210,1489
"Yarrabah, Queensland",Queensland,Yarrabah (S),37600,23,0,288,130,869
"Joondalup, Western Australia",Western Australia,Joondalup (C),54170,40,2100,776,410,2230
"Parkes, New South Wales",New South Wales,Parkes (A),16200,41,1300,554,200,1412
"Central Coast, New South Wales",New South Wales,Central Coast (C) (NSW),11650,42,1750,600,350,1560
"Campaspe, Victoria",Victoria,Campaspe (S),21370,45,1300,561,200,1349
"Doomadgee, Queensland",Queensland,Doomadgee (S),32770,21,0,298,120,745
"Temora, New South Wales",New South Wales,Temora (A),17350,46,1148,546,175,1329
"Orroroo/Carrieton, South Australia",South Australia,Orroroo/Carrieton (DC),45400,52,820,513,107,1326
"Greater Bendigo, Victoria",Victoria,Greater Bendigo (C),22620,39,1387,604,250,1452
"The Coorong, South Australia",South Australia,The Coorong (DC),47800,46,867,499,125,1164
"Cairns, Queensland",Queensland,Cairns (R),32080,37,1665,693,300,1605
"Warren, New South Wales",New South Wales,Warren (A),17950,43,899,649,144,1468
"Tea Tree Gully, South Australia",South Australia,Tea Tree Gully (C),47700,41,1517,655,300,1676
"Cessnock, New South Wales",New South Wales,Cessnock (C),11720,38,1517,540,280,1414
"Adelaide, South Australia",South Australia,Adelaide (C),40070,30,1733,553,375,2026
"Koorda, Western Australia",Western Australia,Koorda (S),54690,47,542,640,95,1458
"Glen Eira, Victoria",Victoria,Glen Eira (C),22310,37,2143,780,390,2248
"Gawler, South Australia",South Australia,Gawler (T),42030,41,1400,576,260,1422
"Harvey, Western Australia",Western Australia,Harvey (S),53990,38,1842,662,320,1797
"Yalgoo, Western Australia",Western Australia,Yalgoo (S),59350,39,325,1483,50,2150
"Mapoon, Queensland",Queensland,Mapoon (S),34830,27,0,365,122,1015
"Coomalie, Northern Territory",Northern Territory,Coomalie (S),70700,46,1348,610,165,1327
"Northern Peninsula Area, Queensland",Queensland,Northern Peninsula Area (R),35780,22,0,468,120,1064
"Laverton, Western Australia",Western Australia,Laverton (S),54970,36,679,1597,70,888
"Clare and Gilbert Valleys, South Australia",South Australia,Clare and Gilbert Valleys (DC),41140,47,1300,605,210,1395
"West Daly, Northern Territory",Northern Territory,West Daly (R),74680,24,355,239,50,590
"Balonne, Queensland",Queensland,Balonne (S),30300,40,1161,662,150,1485
"Wickepin, Western Australia",Western Australia,Wickepin (S),59100,46,767,609,100,1402
"Moyne, Victoria",Victoria,Moyne (S),25490,43,1300,620,180,1486
"Orange, New South Wales",New South Wales,Orange (C),16150,37,1629,667,270,1655
"Stonnington, Victoria",Victoria,Stonnington (C),26350,35,2200,1042,400,2680
"Port Lincoln, South Australia",South Australia,Port Lincoln (C),46300,40,1300,603,220,1398
"Mildura, Victoria",Victoria,Mildura (RC),24780,40,1200,555,210,1340
"Rockhampton, Queensland",Queensland,Rockhampton (R),36370,36,1517,626,270,1539
"Flinders, Queensland",Queensland,Flinders (S) (Qld),33200,44,780,600,120,1331
"Broken Hill, New South Wales",New South Wales,Broken Hill (C),11250,45,953,527,190,1279
"Naracoorte and Lucindale, South Australia",South Australia,Naracoorte and Lucindale (DC),45090,41,1083,655,180,1424
"Brookton, Western Australia",Western Australia,Brookton (S),50910,48,1090,661,150,1468
"Denmark, Western Australia",Western Australia,Denmark (S),52730,49,1573,544,263,1268
"Blayney, New South Wales",New South Wales,Blayney (A),10850,42,1500,620,220,1581
"Darebin, Victoria",Victoria,Darebin (C),21890,36,1950,650,339,1784
"Cottesloe, Western Australia",Western Australia,Cottesloe (T),52170,42,3250,1218,540,3659
"Nedlands, Western Australia",Western Australia,Nedlands (C),56580,41,3250,987,520,3559
"Ryde, New South Wales",New South Wales,Ryde (C),16700,36,2200,738,460,2106
"Murray, Western Australia",Western Australia,Murray (S),56230,44,1863,543,300,1460
"Indigo, Victoria",Victoria,Indigo (S),23350,46,1400,641,210,1540
"Fairfield, New South Wales",New South Wales,Fairfield (C),12850,36,1800,439,350,1263
"Narrabri, New South Wales",New South Wales,Narrabri (A),15750,40,1395,632,200,1531
"Hay, New South Wales",New South Wales,Hay (A),13850,46,982,587,150,1344
"Wentworth, New South Wales",New South Wales,Wentworth (A),18200,44,1200,555,160,1308
"Belyuen, Northern Territory",Northern Territory,Belyuen (S),70540,30,0,261,70,745
"Greater Geraldton, Western Australia",Western Australia,Greater Geraldton (C),53800,38,1733,662,270,1674
"Woodanilling, Western Australia",Western Australia,Woodanilling (S),59320,43,817,748,25,1600
"Tweed, New South Wales",New South Wales,Tweed (A),17550,47,1733,539,340,1332
"Williams, Western Australia",Western Australia,Williams (S),59170,43,1223,825,126,1837
"Shark Bay, Western Australia",Western Australia,Shark Bay (S),57770,43,1380,648,170,1399
"Cuballing, Western Australia",Western Australia,Cuballing (S),52310,47,1226,604,150,1421
"Albury, New South Wales",New South Wales,Albury (C),10050,39,1421,642,231,1532
"Federation, New South Wales",New South Wales,Federation (A),12870,49,1300,559,200,1299
"Coolamon, New South Wales",New South Wales,Coolamon (A),12000,44,1083,594,150,1418
"Mareeba, Queensland",Queensland,Mareeba (S),34880,43,1517,541,220,1274
"Manningham, Victoria",Victoria,Manningham (C),24210,43,2050,629,415,1895
"Yankalilla, South Australia",South Australia,Yankalilla (DC),48750,54,1257,496,231,1189
"Bathurst Regional, New South Wales",New South Wales,Bathurst Regional (A),10470,37,1670,646,280,1632
"Port Macquarie-Hastings, New South Wales",New South Wales,Port Macquarie-Hastings (A),16380,48,1671,540,310,1300
"Pyrenees, Victoria",Victoria,Pyrenees (S),25990,50,1066,472,160,1148
"Hepburn, Victoria",Victoria,Hepburn (S),22910,50,1300,532,235,1287
"Greater Geelong, Victoria",Victoria,Greater Geelong (C),22750,40,1517,600,280,1576
"Kulin, Western Australia",Western Australia,Kulin (S),54760,44,650,746,107,1607
"Sutherland Shire, New South Wales",New South Wales,Sutherland Shire (A),17150,40,2427,837,450,2312
"Jerramungup, Western Australia",Western Australia,Jerramungup (S),54130,41,899,794,128,1637
"Cobar, New South Wales",New South Wales,Cobar (A),11750,36,1300,706,160,1923
"Benalla, Victoria",Victoria,Benalla (RC),21010,49,1192,537,200,1232
"Merredin, Western Australia",Western Australia,Merredin (S),55460,38,1127,661,180,1708
"Blackall-Tambo, Queensland",Queensland,Blackall-Tambo (R),30760,47,850,548,120,1266
"Melton, Victoria",Victoria,Melton (C),24650,33,1704,658,300,1683
"Karratha, Western Australia",Western Australia,Karratha (C),54310,31,2600,1350,220,2951
"Murchison, Western Australia",Western Australia,Murchison (S),56160,37,0,562,25,1775
"Burnie, Tasmania",Tasmania,Burnie (C),60610,41,1083,523,200,1272
"Brimbank, Victoria",Victoria,Brimbank (C),21180,35,1599,487,300,1358
"Quilpie, Queensland",Queensland,Quilpie (S),36150,41,723,692,120,1449
"Balranald, New South Wales",New South Wales,Balranald (A),10300,41,950,624,150,1438
"Litchfield, Northern Territory",Northern Territory,Litchfield (M),72300,37,2400,1092,400,2410
"Greater Dandenong, Victoria",Victoria,Greater Dandenong (C),22670,35,1600,475,300,1260
"Cook, Queensland",Queensland,Cook (S),32500,41,1255,579,163,1341
"Mosman, New South Wales",New South Wales,Mosman (A),15350,42,3000,1295,560,3671
"Aurukun, Queensland",Queensland,Aurukun (S),30250,28,0,260,100,678
"Wakefield, South Australia",South Australia,Wakefield (DC),48130,44,917,549,180,1289
"Kentish, Tasmania",Tasmania,Kentish (M),63210,47,1083,475,200,1167
"Greater Hume Shire, New South Wales",New South Wales,Greater Hume Shire (A),13340,44,1213,600,180,1439
"Kwinana, Western Australia",Western Australia,Kwinana (C),54830,32,1813,684,325,1669
"Wollongong, New South Wales",New South Wales,Wollongong (C),18450,39,1950,584,320,1710
"Victoria Daly, Northern Territory",Northern Territory,Victoria Daly (R),74550,27,1517,376,50,775
"Canning, Western Australia",Western Australia,Canning (C),51330,34,1950,615,370,1788
"Mallala, South Australia",South Australia,Mallala (DC),43920,42,1430,606,230,1498
"Dundas, Western Australia",Western Australia,Dundas (S),53080,47,604,612,132,1235
"No usual address, New South Wales",New South Wales,No usual address (NSW),19499,39,0,405,0,0
"Migratory - Offshore - Shipping, New South Wales",New South Wales,Migratory - Offshore - Shipping (NSW),19799,58,0,540,0,0
"No usual address , Victoria",Victoria,No usual address (Vic.),29499,34,0,398,0,0
"Migratory - Offshore - Shipping , Victoria",Victoria,Migratory - Offshore - Shipping (Vic.),29799,49,0,3000,0,0
"No usual address, Queensland",Queensland,No usual address (Qld),39499,45,0,407,0,0
"Migratory - Offshore - Shipping, Queensland",Queensland,Migratory - Offshore - Shipping (Qld),39799,56,0,606,0,0
"No usual address, South Australia",South Australia,No usual address (SA),49499,40,0,370,0,0
"Migratory - Offshore - Shipping, South Australia",South Australia,Migratory - Offshore - Shipping (SA),49799,45,0,1749,0,0
"No usual address, Western Australia",Western Australia,No usual address (WA),59499,41,0,434,0,0
"Migratory - Offshore - Shipping, Western Australia",Western Australia,Migratory - Offshore - Shipping (WA),59799,40,0,2654,0,0
"No usual address , Tasmania",Tasmania,No usual address (Tas.),69499,38,0,385,0,0
"Migratory - Offshore - Shipping , Tasmania",Tasmania,Migratory - Offshore - Shipping (Tas.),69799,41,0,1089,0,0
"No usual address, Northern Territory",Northern Territory,No usual address (NT),79499,44,0,449,0,0
"Migratory - Offshore - Shipping, Northern Territory",Northern Territory,Migratory - Offshore - Shipping (NT),79799,36,0,700,0,0
"No usual address, Australian Capital Territory",Australian Capital Territory,No usual address (ACT),89499,36,0,447,0,0
"Migratory - Offshore - Shipping, Australian Capital Territory",Australian Capital Territory,Migratory - Offshore - Shipping (ACT),89799,0,0,0,0,0
"No usual address, Other Territories",Other Territories,No usual address (OT),99499,42,0,412,0,0
"Migratory - Offshore - Shipping, Other Territories",Other Territories,Migratory - Offshore - Shipping (OT),99799,39,0,1833,0,0
